county,cases,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ALAND,AWATER
Autauga,760070,31825.655462184874,7611.151260504202,50.21848739495798,2.5714285714285716,1.3445378151260505,1328.0,1539602137.0,25706961.0
Baldwin,2363042,33553.93966480447,8627.226815642458,54.0122905027933,3.2424581005586592,1.5441340782122905,1246.0,4117621645.0,1132980868.0
Barbour,307783,24882.87037037037,4925.037037037037,64.46296296296296,2.5185185185185186,1.1111111111111112,1827.0,2292160139.0,50523213.0
Bibb,305772,29346.053571428572,5849.803571428572,56.160714285714285,2.5357142857142856,1.1607142857142858,3014.0,1612167476.0,9602089.0
Blount,745033,29977.525,6300.63125,62.73125,2.73125,1.1875,855.0,1670103866.0,15015467.0
Bullock,193939,11612.0,7271.555555555556,44.44444444444444,1.5555555555555556,1.1111111111111112,1318.0,1613076054.0,6038093.0
Butler,326573,28747.574468085106,5629.723404255319,51.255319148936174,3.3191489361702127,1.2553191489361701,313.0,2012002531.0,2701198.0
Calhoun,1574391,32609.41968911917,6324.305699481865,48.77720207253886,2.3108808290155443,1.3316062176165804,2191.0,1569195268.0,16587192.0
Chambers,482148,28963.102040816328,8933.387755102041,56.714285714285715,1.9795918367346939,1.1428571428571428,481.0,1545085607.0,16971700.0
Cherokee,236480,26877.416666666668,7504.226190476191,49.19047619047619,5.583333333333333,1.0833333333333333,206.0,1433623319.0,120308342.0
Chilton,538502,32014.838095238094,6627.523809523809,47.885714285714286,2.6285714285714286,1.1714285714285715,3107.0,1794477075.0,20592142.0
Choctaw,110310,28600.382352941175,6034.058823529412,87.91176470588235,2.088235294117647,1.1470588235294117,1415.0,2365869841.0,19144469.0
Clarke,438426,21541.43396226415,5278.8490566037735,57.24528301886792,2.7169811320754715,1.150943396226415,2058.0,3207494106.0,36657891.0
Clay,200543,22612.0,7192.0,45.714285714285715,2.5510204081632653,1.183673469387755,12.0,1564251834.0,5285207.0
Cleburne,170446,27004.012345679013,5548.271604938272,53.65432098765432,2.1604938271604937,1.1975308641975309,1804.0,1450663786.0,2354896.0
Coffee,636197,24636.034090909092,6550.727272727273,55.48863636363637,2.2613636363636362,1.3863636363636365,3113.0,1758565919.0,3907189.0
Colbert,772637,41006.242647058825,9377.183823529413,53.411764705882355,2.2205882352941178,1.2573529411764706,247.0,1535202321.0,79700278.0
Conecuh,171301,35074.575,8787.65,84.775,2.65,1.325,2574.0,2202007855.0,6632046.0
